P_value_shallow,P_value_dnn1,P_value_dnn2
0.5131733328693102 1.0,0.43222526207060075 0.6392472674376444,0.07569075532349973 0.774912004269914
1.0 0.8523318570939993,1.0 0.22171070383488378,1.0 0.29253039279880144
1.0 1.0,1.0 0.9384800389696346,0.7281434932877686 0.01222000580478227
0.7358120739323056 0.03638845026657334,0.783400297437055 0.3673749624037627,1.0 0.0022797078791820316
1.0 1.0,0.8200342366450496 0.003399618994346649,1.0 0.5224558209117256
1.0 0.6272284729872701,0.9210706263429744 0.08589922670847637,1.0 0.9587794485821406
0.05724175814401244 0.614561105581085,0.39713951852818374 0.44342742192479917,0.06760892222629271 0.0013947395407935123
0.9739150365132262 1.0,0.00025248665776795264 0.11307254928338703,0.9796316936801021 0.5046024874248082
0.25246304793207264 1.0,1.0 1.0,1.0 0.19882846345089233
1.0 0.8887887946159343,1.0 0.9773913703686457,0.3934691008416067 0.002245110527444057
0.0053443470542261454 0.8665312930461732,0.09598765453189208 0.6376994854502972,1.0 0.0002746916458885062
1.0 0.2869412374295275,0.0008062534195687357 0.5213137653008574,1.0 0.18625572290454773
0.26045539208381274 0.1711720584552449,1.0 0.0958643636626506,1.0 0.0001085933013783967
0.655605368478332 0.907719468350556,1.0 0.9694606662352043,0.025349011292240573 1.0
1.0 0.00761591146520931,0.4318979700085125 0.8728358564337,1.0 0.28633087129362106
0.9323172674233231 1.0,0.02719276254029058 0.6872908336460526,0.23542607220686326 0.004625507565178542
1.0 0.7200822407609646,1.0 0.1516572996465775,0.18145953604290416 0.003006126908480846
0.28429125918598924 1.0,0.8484240486861889 0.8349631718218067,0.0022708508007149566 0.002920866135090814
0.28218958915388553 0.08025013652249703,0.5904228511990397 0.33562282402675325,1.0 0.21041456446408016
1.0 1.0,0.02311302194855319 0.03635191520841176,1.0 0.04987380984283245
0.9844875160881492 1.0,1.0 0.27442570706060315,0.6717875914778497 1.0
1.0 0.2855609051504735,0.3885151529975166 0.8704816425173194,0.9883647003918916 0.007009956811295377
1.0 0.7879090602769847,1.0 0.20372877418985258,1.314262185342379e-05 0.007916800648613546
0.8997549176144835 0.3826628558864131,0.7998867819343441 1.0,1.0 0.00040248277778102276
1.0 0.20625787568093723,1.0 1.0,0.1802082997703404 0.22253174287611835
1.0 1.0,1.0 0.0747778995278417,0.4270607224528735 0.7526285383554896
1.0 1.0,0.27134987277182643 0.3090420161480169,0.10390329457182748 0.0005190556006372263
1.0 1.0,0.40208071444204224 0.0003641660151960641,1.0 0.6094512264087002
0.002010544884159233 0.1500450276642565,0.7395843019606915 0.6808593404492629,0.3742174626263265 1.0
0.0880358618386321 1.0,0.5096521522226034 1.0,0.0008316872377371939 0.0015096764527216832
1.0 0.30480949301577986,1.0 0.6644251796775755,1.0 0.0005507314301399387
1.0 0.43245063850917653,0.3564769897799915 0.41179024114130713,1.0 0.00022300317757725392
0.7861032442587274 0.7323829810884348,0.3510964459940491 1.0,1.0 0.7381781488662179
1.0 0.41505143182313015,0.12260723008768565 0.0002642031012878808,0.09085920052618511 0.2571617453860749
0.30169001754986324 0.5765331774897169,0.753708714554455 1.0,1.0 1.0
0.41111578236720914 0.9922301399691488,1.0 0.4301413533910927,0.7172172300967261 0.0007208853235040705
