P_value_shallow,P_value_dnn1,P_value_dnn2
0.2998288269935785 1.0,1.0 1.0,0.04301910265347304 0.18111551632333067
1.0 1.0,0.9258311882274516 0.6312895524999603,0.15639504600973814 0.12636094306526663
0.9227277757891514 0.39969893477942553,0.6858751081345855 0.404589881077279,1.0 0.008857101511658586
0.2423261810357858 0.12436910502599205,1.0 0.7006137033201021,1.0 0.0009738158693919775
1.0 1.0,1.0 1.0,1.0 0.11337037630833682
0.009977248040106319 1.0,0.0 0.28829874551047513,1.0 1.7380258282442914e-234
1.0 0.20840057234552084,0.446853006841319 0.0,1.0 0.0
0.16414502774226858 1.0,1.0 3.584322947448304e-287,2.4242458637180738e-61 3.1617203100965495e-64
0.03612966933495508 0.5632808801642606,1.0 1.0,0.5456012915812156 1.0
0.28372340450008493 0.036895064269955355,1.0 0.27472172383769244,0.0 0.4526404776104218
0.9575185591277487 1.0,8.417211199341214e-96 0.16604914902781723,0.30427017053985733 0.07656684210916337
0.36978280608757075 0.44962289428310526,1.0 0.49447376340721566,1.0 1.0
0.0 0.0,1.0 1.0,1.0 1.0619200537983199e-16
5.6376202345343994e-123 0.0,1.0 0.45265607838788696,0.9455573306417382 0.18458708062957074
1.0 1.0,0.13655298878720742 1.0,1.0 2.7544322950113632e-42
0.5811910955798087 0.35033109364306053,0.51499587198705 3.3063570567337916e-09,1.0 0.3415610004203918
0.27964994085163564 1.0,0.4698820615488522 3.111676252762077e-135,0.20368631470958493 0.0
1.0 1.0,1.0 9.25323933306432e-62,1.0 0.0
0.4955428594456972 0.8971431580362705,1.0 0.0,1.0 0.4872179878296441
1.0 0.86081496336977,1.0 0.004633858426143497,0.0 4.343298426427864e-259
1.0 1.381121288035969e-24,1.0 1.0,1.0 1.0
1.0 0.42556662828348824,0.0970876823880647 0.9522065472703478,1.0 1.0
0.4771827747340711 0.0625560370342613,1.0 0.9358479400810444,4.95946868361522e-32 0.0
0.7495966514095714 1.0,1.2629037612938921e-05 2.016762322653751e-281,1.0 0.0
1.0 0.0024282761681440387,0.0 8.55498440307304e-217,9.59589431247197e-10 0.0
1.0 0.0,1.592765565182315e-05 0.0,0.0011921087919712068 0.0
0.9573121807027826 0.48350929545319604,1.0 0.0,1.0 0.922515994607241
0.8404186943219105 0.5427241414363992,1.0 0.33264672083089375,1.0 0.607928368942982
1.3962900337443618e-115 0.0,4.323347070613385e-49 4.0696299375012046e-75,2.5498319760045383e-158 0.04959005514914379
1.0 0.749954763901189,1.0 3.323174253724692e-16,2.828997882603155e-40 1.8684407479857613e-85
1.0 1.0,0.2962196697006548 0.31014706267239833,0.6184423205855232 0.6414379191628354
1.0 1.0,1.0 0.3779275721008723,0.8363406493575585 0.7106498960489245
9.780038787397295e-44 0.0,0.4985637687295955 0.0,1.0 0.5041271876623468
1.0 0.32978784888794027,1.0 0.8130134943162048,1.0 0.6065167590710064
1.2652038472481152e-162 3.0529184855424245e-172,1.0 0.0,1.0 0.30820692765226904
1.0 7.10624659832827e-211,1.0 1.0,1.0 5.283097627943714e-129
0.8292352865873344 0.3390527693365046,1.0 2.3787510203878823e-104,0.8004125777084881 0.4314040822361149
1.648548331329429e-12 0.0,1.0 0.004459111910201803,0.0 1.0
0.0 0.0,2.484255899717756e-18 0.10089794420974563,0.4638778086140287 0.018272244623902714
1.0 0.19850336100417332,0.05961557799560134 0.0,0.9170005400987251 0.037180010924614204
4.3450361367425353e-16 1.0,0.5558407219806791 0.9424779584533552,0.2809801194996629 0.2513232215028436
1.0 0.46390195681904534,0.5667251388063026 0.0,1.0 1.0
1.0 6.626957338925224e-43,0.21584300476209387 0.0,0.05829743560979357 0.11513590119880815
0.8479701530133148 0.13201664710447247,0.15789076167731764 1.1244678487620907e-140,1.0 1.0
1.0 0.2716967341493568,0.6996549182834021 0.0,1.0 0.7981161965245239
0.0 0.0,1.0 0.0,1.0 0.0
0.9026216734204965 0.011728687719666966,0.9186214299707254 0.5195965855637898,0.2672488701135691 0.4130482337986363
0.927789969747906 0.8625976180432484,0.792320619122876 0.0,1.0 0.8357363806232239
1.0 3.60191599537605e-193,1.0 1.0,1.0 0.0
0.41974792206357997 0.6547125601764849,0.6176078092837148 0.05572765693130639,1.0 0.2651818697804311
4.191177582645807e-05 0.15079381244660936,0.4554660181540012 0.0,1.0 0.4721545700495967
0.5360507841873308 0.258635747570369,2.4267721838567084e-118 0.71946042396822,1.0 0.31852105695492317
1.0 0.5255095219339565,0.28245410559925366 4.2771108912753287e-160,1.0 0.0
0.6078358625670661 0.0,0.9973607092247897 0.0,1.0 1.0
0.18874429920545216 0.3756917009525455,1.0 0.3652237104188195,0.0 0.0
0.571077875216897 0.0,1.0 1.0,1.0 0.18478059470730365
0.06661802834641112 1.2745891594551286e-138,0.29263191435237457 1.0,1.0 0.0008401557949600168
0.0 0.0,1.0 1.0,1.0 0.2969585823681569
1.0 3.643720171292417e-111,0.5479201817107897 0.43303421027537947,1.0 0.4497317333763379
1.0 1.0,0.47872954752708197 1.9426725917457698e-246,0.4124846322036554 0.0
1.0 0.0,1.0 0.339706215159676,1.0 1.658265752610918e-35
1.0 0.08744307778563554,1.0 1.0,1.0 0.0
2.841482406246134e-55 0.0,1.0 2.828491956282724e-85,0.8202293233283134 0.0
1.0 0.09448699799463187,1.0 1.1213316263850866e-75,1.0 1.0
1.0 1.0,1.0 0.0,1.0 0.8010977413920157
0.21010047119343012 1.0,1.0 2.785880686256767e-257,1.0 0.7764267472529824
1.0 1.0,0.0006039065433742856 0.4308579057487603,1.0 1.0
1.0 7.79521371888605e-132,1.173653122231472e-151 0.0,1.0 0.6644826735559143
0.020862713886996447 0.0,1.0 8.444551998952616e-14,7.845249395918828e-23 1.0
1.0 1.0,2.0205311391930604e-61 0.03530950416276177,1.0 0.4953277142870449
7.978583277167906e-07 0.9204388783848257,1.0 0.0,4.490806523640198e-114 0.0
1.0 0.28590342100301486,1.0 0.435737726068973,1.0 0.891496610442576
4.868255321599551e-44 1.0,0.519516709069135 2.3487736981070865e-244,7.559287211750757e-63 0.0
2.056944633963778e-24 0.21204714829522572,1.7657613341393184e-86 1.2990008903733144e-89,0.008894990074479109 0.0
1.0 0.27289368362123373,1.0 1.0,0.0 0.5511116370932353
0.9544104784961014 5.111413158943585e-287,0.1593079303836571 0.22312919446388207,0.0 0.2307077731387086
0.0 0.31290840411782667,9.538060253459485e-33 1.0,1.0 0.0
4.888190631517177e-25 0.0,0.0 0.0,1.0 4.7697364708330385e-143
1.0 0.06405882458210459,0.05144626445048628 0.6844757821252767,1.479315070817426e-10 4.342434573187223e-268
0.0 0.8374692449403344,0.4909200778971827 4.553879166163187e-60,0.029885786951165783 0.06656923112052979
1.0 1.0,1.0 7.630505363141313e-75,1.2818795368847987e-13 0.0
2.1345897337941787e-25 0.0,0.0012607578360002405 0.06422117178083823,4.92313835263474e-09 4.0388558172077724e-226
1.1409994797395357e-138 0.006926993461378454,3.627997181910589e-28 0.18197690841399783,1.0 0.0
0.022230290493780964 0.0,1.0 0.0059158998979612345,1.0 0.0
0.47035063065050864 0.0,1.0 1.4126368068998509e-123,1.5163147491825913e-10 6.444584869556788e-125
0.0 3.207595805706757e-240,3.132898146954429e-10 1.0607962859310769e-11,1.4992439211886147e-75 1.1129739984495732e-82
0.6892192928819802 0.0,3.313972156709442e-68 0.0,1.0 0.0
9.690134587820474e-64 0.0,0.5735282295858144 0.6982578424040832,4.11790170726686e-06 4.575306248221063e-127
1.0 0.6207300204065997,0.2706120740949602 0.0,1.3411210149994504e-128 0.014735455268801325
1.0 0.0,1.0 1.0,1.0 0.0
0.0 8.608068521114571e-147,1.0 0.5670765476112756,0.0 0.0
1.0 1.7109905295788652e-65,0.1932866874835374 1.0,0.9186961182913433 1.0
